Genes	log2FoldChange	Pvalue	FDR
A1I3	-1.138557483	0.00011104	0.000862478
A1M	0.590761311	0.070988041	0.192551708
A2M	0.092978268	0.819706797	0.913893947
A2ML1	-0.269406894	0.745374782	0.874295125
ABAT	1.248116214	1.44E-06	1.68E-05
ABCC3	-0.729475452	0.005171574	0.024228298
ABCF2	-0.143889738	0.751757802	0.878098175
ABCG2	-1.474380288	2.53E-05	0.000231061
ABHD12	-0.370274856	0.472449261	0.685380383
ABHD14B	-0.136947936	0.648939651	0.817297136
ABHD5	-0.027313326	0.929652161	0.967229707
ACAA2	0.584450031	0.310849482	0.535135922
ACAN	-0.751243713	0.017190077	0.064219106
ACAT2	-1.534547526	0.167017689	0.359066269
ACSBG2	-0.688179792	0.003546538	0.017621824
ADH1	0.018956655	0.981254486	0.989727965
AGT	-0.123692151	0.682259196	0.837505755
AHCY-A	-0.905709585	0.047643987	0.142913423
AHSG	0.241258605	0.587422887	0.775273288
ALAS1	0.531999003	0.08523057	0.219306563
ALDH1L1	0.25021101	0.290951806	0.514909887
ALDH2	-0.453457554	0.72361196	0.862183092
ALDH9A1A	0.275725326	0.624231317	0.800765325
ALDOB	-0.4809075	0.209587774	0.416206118
ALLC	1.156556841	2.33E-05	0.000215266
ALYREF	1.153168473	0.004208625	0.020322137
ALYREF-A	0.976692087	0.014863465	0.057387476
AMDHD1	-0.230029845	0.394459246	0.614986434
AP1S3	-2.731173393	5.35E-11	1.19E-09
APOA1	-2.615809839	0.002255595	0.012037648
APOB	-0.826589493	0.141516501	0.319474626
APOC2	0.492482958	0.07947604	0.208820992
APOEB	-1.136317674	0.068447903	0.187408877
APOH	3.463984785	7.13E-23	5.26E-21
AQP9	-0.586571307	0.180255962	0.378223519
ARF5	-0.164163126	0.677250458	0.834909114
ARHGEF28	-0.572896962	0.039244346	0.122730357
ARHGEF38	2.394612015	0.007151717	0.031594604
ARID4A	1.55889423	0.152549117	0.336673673
ARL1	1.06964478	3.67E-05	0.000320889
ARL5A	-0.470842011	0.436080123	0.654353609
ARRDC2	0.409861521	0.108879708	0.263781795
ASPDH	-0.124033698	0.693969401	0.844344308
ATF4	0.077719668	0.836531005	0.922301882
ATP1A1	-0.230154579	0.486728325	0.69615715
ATP5F1B	-0.9024357	0.000443684	0.002940982
ATP5MC3	-0.572713725	0.033563998	0.109262179
ATP6V0C	-1.578948699	0.035140555	0.113299264
AVPI1	1.069922745	0.000319384	0.00221614
AZIN1	-0.104469084	0.750319646	0.876994034
BET1	-0.234517323	0.374993538	0.596131096
BHMT	-1.13806257	0.053290146	0.155729241
BLVRB	0.286768401	0.43716491	0.655279855
BMP1	4.429715301	2.70E-05	0.000244364
BMP3	-0.838197429	0.44845102	0.664126196
BNIP3	-3.516290229	0.002327254	0.012360181
BRD2	-0.010899849	0.972457031	0.985548033
BRD4	-1.653042783	3.00E-05	0.000266913
BSDC1	0.144615705	0.574940913	0.765429496
BTG1	-0.444370092	0.251702934	0.468237915
BTG3	-0.95909745	0.000783593	0.0048637
BTN1A1	0.693740094	0.004234854	0.020423205
C1QL2	0.62273322	0.052212511	0.153423385
C1QL4	-0.113310138	0.683866393	0.838264211
C1QTNF3	0.239425686	0.597792794	0.782106388
C1RB	0.152659416	0.633580511	0.806733043
C3	1.037221881	0.006914843	0.030813019
C5	1.036812624	0.341691639	0.564530828
C6ORF62	-1.108114785	0.020683412	0.07447381
C7	-0.660152862	0.094024433	0.236256308
C8A	-0.016101183	0.971663263	0.985404472
C8B	-0.957767364	0.164720258	0.355349612
C9	0.472006233	0.141961837	0.320116539
CALD1	0.175557945	0.581772913	0.770935608
CAPN2	-0.554085816	0.082227949	0.213941307
CAPRIN1	-0.304715316	0.263051736	0.482710267
CARHSP1	1.722698415	0.000902108	0.005488011
CBX7	0.413269605	0.262058602	0.481460858
CCL25	-0.313822479	0.289757413	0.513326416
CCNDBP1	0.670116597	0.214819552	0.423025273
CCNG2	-0.01890972	0.859601261	0.933535204
CCT2	0.415965906	0.283707036	0.506272579
CDKN1B	0.853427706	0.082476265	0.214474456
CDKN1C	-0.717858855	0.06535321	0.181650584
CDO1	-2.865118857	0.001635337	0.009128757
CEBPA	0.236504424	0.368216517	0.590122941
CEBPD	-0.343821951	0.232831066	0.445138691
CERS2	-1.146970377	0.188219064	0.389055039
CETP	-0.178392717	0.531295925	0.730994162
CFB	-0.891093402	0.046004084	0.139185651
CFH	-0.080576019	0.765507968	0.884757185
CFHR1	1.361173185	3.08E-05	0.000273501
CFHR2	-0.211856286	0.532651168	0.732270683
CFI	1.01171277	0.007135317	0.031549275
CFP	0.227862441	0.422530801	0.642604219
CIART	0.183245856	0.404802069	0.624686047
CIDEC	-0.38678349	0.695081771	0.845063135
CIRBP	0.484329891	0.05314534	0.155541923
CIRBP-B	-0.14184144	0.732491806	0.866934726
CISH	0.734975085	0.203195271	0.407818887
