Source	Target
Cebpd	Cebpd
CYR61	Cebpd
Cebpd	CDKN1B
CYR61	CDKN1B
junb	Cebpd
IGFBP1	Cebpd
CDKN1B	Cebpd
NR1D2	Cebpd
CDKN1B	junb
Cebpd	UBE2W
egr1	Cebpd
Zfp36l1	Cebpd
CDKN1B	UBE2W
egr1	Cebpd
CYR61	Cebpd
ier2	Cebpd
IGFBP1	CDKN1B
mfsd2ab	Cebpd
Cebpd	ier2
Zfp36l1	CDKN1B
Brd2	Cebpd
mfsd2ab	CDKN1B
irf2bp2b	Cebpd
pptc7	Cebpd
NR1D2	CDKN1B
Zfp36l1	Cebpd
ier2	CDKN1B
CYR61	JUND
irf2bp2b	CDKN1B
Cebpd	CEBPA
Cebpd	UBE2W
CEBPA	Cebpd
Cebpd	junb
CDKN1B	spp2
egr1	CDKN1B
IGFBP1	CEBPA
Brd2	CDKN1B
egr1	CDKN1B
Cebpd	junb
pptc7	CDKN1B
ZFP36L1	Cebpd
IGFBP1	Cebpd
Cebpd	spp2
CYR61	irf2bp2b
NR1D2	Cebpd
IGFBP1	JUND
Cebpd	ier2
CDKN1B	junb
Cebpd	egr1
Zfp36l1	PLG
CYR61	Zfp36l1
JUND	junb
Zfp36l1	Cebpd
Cebpd	PLIN2
CDKN1B	ier2
JUND	CEBPA
mfsd2ab	Cebpd
pptc7	Cebpd
CDKN1B	egr1
Cebpd	ZFP36L1
Zfp36l1	CDKN1B
CDKN1B	ZFP36L1
ier2	Cebpd
Cebpd	spp2
JUND	Cebpd
CYR61	IGFBP1
CDKN1B	CEBPA
Zfp36l1	irf2bp2b
IGFBP1	irf2bp2b
CYR61	CEBPA
CYR61	PLG
junb	junb
Brd2	ZFP36L1
CYR61	ZFP36L1
CYR61	pptc7
CYR61	Brd2
JUND	Cebpd
Brd2	Cebpd
egr1	Cebpd
Zfp36l1	Brd2
Zfp36l1	IGFBP1
Cebpd	egr1
NR1D2	CDKN1B
irf2bp2b	ZFP36L1
pptc7	ZFP36L1
CTGF	Cebpd
NR1D2	ITIH2
Zfp36l1	Zfp36l1
CDKN1B	PLIN2
NR1D2	Cebpd
egr1	Cebpd
irf2bp2b	Cebpd
mfsd2ab	UBE2W
Cebpd	Noct
Cebpd	AHSG
Zfp36l1	Cebpd
CDKN1B	SAT1
IGFBP1	junb
irf2bp2b	UBE2W
SAT1	Cebpd
Noct	Cebpd
mfsd2ab	junb
JUND	CDKN1B
CYR61	mfsd2ab
irf2bp2b	junb
irf2bp2b	ier2
IGFBP1	mfsd2ab
Cebpd	AHSG
mfsd2ab	CEBPA
CTGF	CDKN1B
PLG	NR1D2
pptc7	CEBPA
Cebpd	junb
JUND	junb
SRSF2	Cebpd
irf2bp2b	Zfp36l1
CDKN1B	AHSG
CYR61	Zfp36l1
NR1D2	ABHD5
CYR61	Ppp1r3g
Zfp36l1	Cebpd
IGFBP1	Zfp36l1
JUND	mfsd2ab
Cebpd	ier2
PLG	Zfp36l1
irf2bp2b	mfsd2ab
CDKN1B	CYB5A
NR1D2	egr1
junb	CEBPA
NMT3	Cebpd
CYB5A	Cebpd
pptc7	Zfp36l1
Zfp36l1	pptc7
Brd2	PLIN2
Zfp36l1	NR1D2
CTGF	mfsd2ab
Zfp36l1	JUND
Brd2	Zfp36l1
Cebpd	CYB5A
JUND	PLG
irf2bp2b	ier2
egr1	ABHD5
NMT3	CDKN1B
IGFBP1	ZFP36L1
NR1D2	Cebpd
CYR61	Zfp36l1
Cebpd	AHSG
Zfp36l1	ITIH2
CDKN1B	AHSG
irf2bp2b	SAT1
mfsd2ab	ier2
CTGF	Cebpd
egr1	irf2bp2b
Zfp36l1	Cebpd
CYR61	AHSG
Pgrmc1	Brd2
egr1	ABHD5
SRSF2	CDKN1B
Brd2	CYB5A
Cebpd	ier2
PLG	Cebpd
Zfp36l1	PLG
egr1	ITIH2
PLG	CEBPA
Brd2	NR1D2
irf2bp2b	CEBPA
Brd2	Errfi1
irf2bp2b	Brd2
Cebpd	PLIN2
PLG	Cebpd
Zfp36l1	spp2
CYR61	junb
IGFBP1	pptc7
CDKN1B	Noct
ARG1	Errfi1
JUND	irf2bp2b
NR1D2	ABHD5
CYR61	junb
irf2bp2b	junb
Zfp36l1	mfsd2ab
pptc7	Brd2
ier2	junb
egr1	Brd2
SRSF2	Cebpd
mfsd2ab	junb
junb	ier2
Brd2	Ppp1r3g
mfsd2ab	ier2
Cebpd	AHSG
PLG	CYR61
egr1	irf2bp2b
egr1	NR1D2
pptc7	spp2
egr1	PLG
Cebpd	SAT1
Brd2	AHSG
ier2	ier2
Pgrmc1	Errfi1
irf2bp2b	pptc7
IGFBP1	junb
