Weight	Sex
52.43	Female
54.76	Female
56.55	Female
52.07	Female
55.12	Female
56.71	Female
55.46	Female
53.73	Female
54.31	Female
54.55	Female
56.22	Female
55.35	Female
55.40	Female
55.11	Female
54.44	Female
56.78	Female
55.49	Female
53.03	Female
55.70	Female
54.52	Female
53.93	Female
54.78	Female
53.97	Female
54.27	Female
54.37	Female
53.31	Female
55.83	Female
55.15	Female
53.86	Female
56.25	Female
55.42	Female
54.70	Female
55.89	Female
55.87	Female
55.82	Female
55.68	Female
55.55	Female
54.93	Female
54.69	Female
54.61	Female
54.30	Female
54.79	Female
53.73	Female
57.16	Female
56.20	Female
53.87	Female
54.59	Female
54.53	Female
55.77	Female
54.91	Female
55.25	Female
54.97	Female
54.95	Female
56.36	Female
54.77	Female
56.51	Female
53.45	Female
55.58	Female
55.12	Female
55.21	Female
55.37	Female
54.49	Female
54.66	Female
53.98	Female
53.92	Female
55.30	Female
55.44	Female
55.05	Female
55.92	Female
57.05	Female
54.50	Female
52.69	Female
56.00	Female
54.29	Female
54.31	Female
56.02	Female
54.71	Female
53.77	Female
55.18	Female
54.86	Female
55.00	Female
55.38	Female
54.62	Female
55.64	Female
54.77	Female
55.33	Female
56.09	Female
55.43	Female
54.67	Female
56.14	Female
55.99	Female
55.54	Female
55.23	Female
54.37	Female
56.36	Female
54.39	Female
57.18	Female
56.53	Female
57.76	Female
58.97	Female
60.19	Male
59.31	Male
57.73	Male
58.54	Male
60.58	Male
57.52	Male
57.21	Male
57.40	Male
59.65	Male
57.94	Male
58.11	Male
58.24	Male
59.23	Male
57.48	Male
57.00	Male
59.67	Male
57.55	Male
57.27	Male
56.76	Male
56.71	Male
57.42	Male
58.61	Male
59.10	Male
58.70	Male
57.63	Male
58.05	Male
57.29	Male
57.28	Male
58.88	Male
56.98	Male
59.95	Male
57.90	Male
58.21	Male
57.26	Male
57.42	Male
56.68	Male
57.81	Male
58.41	Male
58.32	Male
57.21	Male
57.21	Male
57.49	Male
59.49	Male
56.86	Male
57.82	Male
59.90	Male
57.89	Male
56.64	Male
57.33	Male
58.48	Male
57.62	Male
57.43	Male
57.65	Male
58.09	Male
59.59	Male
57.91	Male
57.08	Male
58.63	Male
57.88	Male
56.46	Male
57.47	Male
57.51	Male
58.04	Male
59.30	Male
60.29	Male
59.54	Male
57.86	Male
56.24	Male
57.61	Male
58.08	Male
58.84	Male
58.96	Male
58.68	Male
56.60	Male
58.84	Male
57.55	Male
58.17	Male
58.07	Male
58.42	Male
58.02	Male
56.33	Male
58.73	Male
58.38	Male
57.73	Male
58.11	Male
58.13	Male
58.22	Male
59.64	Male
57.78	Male
58.16	Male
57.16	Male
57.05	Male
57.14	Male
57.42	Male
60.00	Male
58.06	Male
59.86	Male
56.64	Male
58.02	Male
59.24	Male
