Value	Traits	Sex
36.74	Weight	Female
38.54	Weight	Female
44.91	Weight	Female
43.53	Weight	Female
39.03	Weight	Female
26.01	Weight	Female
29.59	Weight	Female
33.08	Weight	Female
45.21	Weight	Female
38.05	Weight	Female
39.48	Weight	Female
32.13	Weight	Female
41.42	Weight	Female
30.82	Weight	Female
37.9	Weight	Female
33.64	Weight	Female
39.67	Weight	Female
45.27	Weight	Female
34.44	Weight	Female
33.59	Weight	Female
46.57	Weight	Female
34.47	Weight	Female
46.02	Weight	Female
26.08	Weight	Female
46.16	Weight	Female
28.38	Weight	Female
32.75	Weight	Female
39.5	Weight	Female
42.16	Weight	Female
29.23	Weight	Female
43.36	Weight	Female
36.43	Weight	Female
25.98	Weight	Female
31.89	Weight	Female
31.38	Weight	Female
31.51	Weight	Female
32.73	Weight	Female
39.31	Weight	Female
34.33	Weight	Female
36.88	Weight	Female
37.24	Weight	Female
33.57	Weight	Female
33.32	Weight	Female
48.36	Weight	Female
29.55	Weight	Female
34.98	Weight	Female
30.03	Weight	Female
32.89	Weight	Female
42.65	Weight	Female
40.3	Weight	Female
35.54	Weight	Female
41.79	Weight	Female
28.87	Weight	Female
33.32	Weight	Female
43.62	Weight	Female
40.84	Weight	Female
47.42	Weight	Female
46.15	Weight	Female
33.54	Weight	Female
38.28	Weight	Female
34.52	Weight	Female
47.9	Weight	Female
27.03	Weight	Female
28.78	Weight	Female
29.48	Weight	Female
32.57	Weight	Female
27.36	Weight	Female
45.46	Weight	Female
38.97	Weight	Female
36.67	Weight	Female
35.33	Weight	Female
34.71	Weight	Female
46.67	Weight	Female
36.9	Weight	Female
32.07	Weight	Female
39.46	Weight	Female
25.48	Weight	Female
36.97	Weight	Female
47.2	Weight	Female
37.25	Weight	Female
44.09	Weight	Female
43.06	Weight	Female
34.93	Weight	Female
36.34	Weight	Female
28.48	Weight	Female
29.4	Weight	Female
26.94	Weight	Female
41.15	Weight	Female
33.47	Weight	Female
28.32	Weight	Female
40.16	Weight	Female
30.22	Weight	Female
29.42	Weight	Female
25.97	Weight	Female
34.67	Weight	Female
27.35	Weight	Female
46.19	Weight	Female
30.79	Weight	Female
43.49	Weight	Female
35.42	Weight	Female
11.48	Length	Female
10.82	Length	Female
9.11	Length	Female
9	Length	Female
9.89	Length	Female
10.01	Length	Female
10.29	Length	Female
9.21	Length	Female
9.95	Length	Female
10.6	Length	Female
10.09	Length	Female
10.1	Length	Female
10.86	Length	Female
11.35	Length	Female
9.11	Length	Female
11.87	Length	Female
11.19	Length	Female
11.3	Length	Female
11.97	Length	Female
9.31	Length	Female
10.32	Length	Female
9.44	Length	Female
11.14	Length	Female
10.6	Length	Female
9.59	Length	Female
10.72	Length	Female
9.05	Length	Female
10.08	Length	Female
12.11	Length	Female
10.02	Length	Female
10.1	Length	Female
11.56	Length	Female
11.38	Length	Female
10.46	Length	Female
9.8	Length	Female
10.02	Length	Female
9.01	Length	Female
11.08	Length	Female
11.52	Length	Female
9.45	Length	Female
10.29	Length	Female
9.6	Length	Female
10.77	Length	Female
11.11	Length	Female
10.4	Length	Female
11.44	Length	Female
10.15	Length	Female
9.15	Length	Female
9.59	Length	Female
9.84	Length	Female
9.61	Length	Female
11.74	Length	Female
11.82	Length	Female
9.43	Length	Female
10.13	Length	Female
10.35	Length	Female
11.63	Length	Female
8.95	Length	Female
9.38	Length	Female
11.49	Length	Female
11.81	Length	Female
11.09	Length	Female
10.8	Length	Female
9.52	Length	Female
11.98	Length	Female
10.56	Length	Female
9.55	Length	Female
12.16	Length	Female
9.74	Length	Female
11.77	Length	Female
10.94	Length	Female
9.94	Length	Female
10.19	Length	Female
11.2	Length	Female
12.07	Length	Female
9	Length	Female
11.89	Length	Female
10.5	Length	Female
10.24	Length	Female
11.46	Length	Female
10.03	Length	Female
11.92	Length	Female
10.7	Length	Female
11.24	Length	Female
10.43	Length	Female
9	Length	Female
10.69	Length	Female
9.13	Length	Female
9.78	Length	Female
9.7	Length	Female
11.01	Length	Female
11.02	Length	Female
12.03	Length	Female
11.8	Length	Female
9.48	Length	Female
10.05	Length	Female
10.22	Length	Female
9.43	Length	Female
10.73	Length	Female
11.55	Length	Female
3.69	Width	Female
4.88	Width	Female
3.92	Width	Female
4.55	Width	Female
3.48	Width	Female
3.19	Width	Female
