Weight	Sex
36.74	Female
38.54	Female
44.91	Female
43.53	Female
39.03	Female
26.01	Female
29.59	Female
33.08	Female
45.21	Female
38.05	Female
39.48	Female
32.13	Female
41.42	Female
30.82	Female
37.9	Female
33.64	Female
39.67	Female
45.27	Female
34.44	Female
33.59	Female
46.57	Female
34.47	Female
46.02	Female
26.08	Female
46.16	Female
28.38	Female
32.75	Female
39.5	Female
42.16	Female
29.23	Female
43.36	Female
36.43	Female
25.98	Female
31.89	Female
31.38	Female
31.51	Female
32.73	Female
39.31	Female
34.33	Female
36.88	Female
37.24	Female
33.57	Female
33.32	Female
48.36	Female
29.55	Female
34.98	Female
30.03	Female
32.89	Female
42.65	Female
40.3	Female
35.54	Female
41.79	Female
28.87	Female
33.32	Female
43.62	Female
40.84	Female
47.42	Female
46.15	Female
33.54	Female
38.28	Female
34.52	Female
47.9	Female
27.03	Female
28.78	Female
29.48	Female
32.57	Female
27.36	Female
45.46	Female
38.97	Female
36.67	Female
35.33	Female
34.71	Female
46.67	Female
36.9	Female
32.07	Female
39.46	Female
25.48	Female
36.97	Female
47.2	Female
37.25	Female
44.09	Female
43.06	Female
34.93	Female
36.34	Female
28.48	Female
29.4	Female
26.94	Female
41.15	Female
33.47	Female
28.32	Female
40.16	Female
30.22	Female
29.42	Female
25.97	Female
34.67	Female
27.35	Female
46.19	Female
30.79	Female
43.49	Female
35.42	Female
48.06	Male
36.8	Male
39.98	Male
39.51	Male
42.74	Male
31.61	Male
38.76	Male
34.81	Male
45.25	Male
39.65	Male
44.95	Male
29.9	Male
30.96	Male
36.78	Male
43.21	Male
40.02	Male
35.01	Male
34.84	Male
44.65	Male
47.32	Male
45.44	Male
39.63	Male
28.2	Male
42.06	Male
42.11	Male
42.66	Male
30.69	Male
39.11	Male
38.78	Male
43.42	Male
27.85	Male
36.94	Male
39.86	Male
35.74	Male
33.5	Male
27.45	Male
45.66	Male
48.13	Male
33.39	Male
43.16	Male
29.07	Male
34.13	Male
42.51	Male
43.36	Male
33.32	Male
45.76	Male
28.52	Male
30.45	Male
31.87	Male
30.56	Male
32.39	Male
29.56	Male
39.86	Male
45.9	Male
31.16	Male
25.86	Male
41.91	Male
35.11	Male
27.65	Male
29.29	Male
29.4	Male
43.58	Male
37.42	Male
43.23	Male
43.2	Male
41.15	Male
29.53	Male
26.67	Male
45.51	Male
44.1	Male
30.42	Male
38.93	Male
44.09	Male
34.6	Male
43.78	Male
27.19	Male
30.61	Male
38.21	Male
37.95	Male
46.62	Male
46.32	Male
40.38	Male
44.88	Male
28.48	Male
38.23	Male
36.62	Male
39.93	Male
31.18	Male
47.54	Male
42.75	Male
48.24	Male
37.09	Male
36.49	Male
43.54	Male
46.83	Male
34.19	Male
34.27	Male
33.22	Male
42.54	Male
44.18	Male
