name	baseMean	log2FoldChange	padj
A1I3	0.118447482	0	NA
A1M	1654.461814	0.678953771	0.052808016
A2M	681.0463277	1.526383849	3.92E-07
A2ML1	389.722664	3.893357254	1.18E-14
ABAT	364.781009	-2.355401432	0.000155923
ABCC3	1.1346239	1.293273955	0.449181152
ABCF2	901.526675	2.472712041	9.44E-13
ABCG2	805.5154071	0.058937101	0.912972504
ABHD12	954.2590271	1.069204156	4.61E-05
ABHD14B	80.90908298	1.824566766	3.55E-06
ABHD5	842.8575626	1.752225381	2.33E-06
ACAA2	1571.029705	0.837627073	0.007707308
ACAN	782.9695613	0.29778994	0.567318442
ACAT2	9.45645121	-2.66825559	0.000653091
ACSBG2	0.260661844	0	NA
ADH1	1826.909474	0.488079185	0.120788224
AGT	177.2813892	1.533059543	9.94E-05
AHCY-A	824.031696	0.835887563	0.001701735
AHSG	156.3573448	1.529274593	0.000971718
ALAS1	0.775549639	-1.817485623	0.343094227
ALDH1L1	198.8859943	0.834163613	0.036290221
ALDH2	7797.911698	1.932676101	1.68E-08
ALDH9A1A	2766.49093	1.128562347	0.004870229
ALDOB	6.415308408	-4.488470065	2.37E-05
ALLC	0.74815835	-0.930109867	0.642926503
ALYREF	65.3691834	-2.190924765	0.001990012
ALYREF-A	0.445437357	0.940635304	0.642281943
AMDHD1	485.0009743	0.900451195	0.056424957
AP1S3	4455.104288	0.28511493	0.5860821
APOA1	903.8772701	-0.844030884	0.031378301
APOB	0.252245458	-0.262544146	NA
APOC2	2812.978962	2.471599166	2.20E-13
APOEB	1.772720046	0.801692112	0.665274424
APOH	0.570900171	-0.826268187	0.686098457
AQP9	10.2319677	4.012781971	7.49E-05
ARF5	7.954391482	-2.849259998	0.00757873
ARHGEF28	406.4344468	0.852605231	0.000501546
ARHGEF38	4231.43086	1.44771382	5.50E-05
ARID4A	6812.009101	-0.249724034	0.263259967
ARL1	398.7262209	-0.205254666	0.582379196
ARL5A	3001.475521	-1.479190802	5.53E-05
ARRDC2	36.47999434	-2.167643349	0.000105138
ASPDH	0.241398146	-1.811605953	NA
ATF4	1098.290167	0.352160167	0.219052865
ATP1A1	77.91494824	-0.396529867	0.466056708
ATP5F1B	2331.341973	1.871604713	4.35E-07
ATP5MC3	183.9733136	-4.920993996	3.14E-19
ATP6V0C	3600.489179	3.565706727	7.22E-63
AVPI1	6463.474408	0.523697601	0.277762873
AZIN1	1732.95228	3.19560745	2.54E-17
BET1	1816.153515	0.690981853	0.018412825
BHMT	3674.257377	-0.544765097	0.090898384
BLVRB	508.7846832	-5.23353107	1.38E-59
BMP1	1644.104205	1.577231141	2.03E-06
BMP3	646.6861931	0.839436933	5.94E-05
BNIP3	0.378131842	1.011258928	NA
BRD2	216.0667425	0.996058612	0.044447594
BRD4	2094.305142	2.671031658	2.50E-09
BSDC1	31.54743987	-5.646885582	NA
BTG1	29.88249155	-0.594884135	0.441731265
BTG3	0.120699073	-1.388521157	NA
BTN1A1	0.848214466	1.3563951	0.49152954
C1QL2	328.2336321	-0.726011596	0.023921877
C1QL4	498.7863988	0.786450649	0.116448054
C1QTNF3	3687.062872	0.56189777	0.080349693
C1RB	1.092572564	-3.386960461	NA
C3	754.6751743	0.557781587	0.058282904
C5	812.6138273	0.332146018	0.411141009
C6ORF62	0.141468671	-1.584240975	NA
C7	3346.108573	-0.255171211	0.497448495
C8A	1535.510671	2.187545462	1.38E-09
C8B	9199.910911	1.511145889	1.56E-05
C9	1101.906422	1.338137985	4.41E-05
CALD1	0.144826001	1.397417684	NA
CAPN2	1460.094549	1.209871425	0.000521985
CAPRIN1	822.673107	1.512144221	9.14E-05
CARHSP1	0.049753933	0.732611329	NA
CBX7	0.179226828	0.10454477	NA
CCL25	893.7696295	0.233080457	0.484115277
CCNDBP1	961.4609106	2.439570534	2.06E-11
CCNG2	230.2013851	-2.932444343	1.54E-07
CCT2	97.25614045	4.063100305	7.43E-09
CDKN1B	1009.220043	0.734109153	0.004550559
CDKN1C	1343.522011	-2.050219949	2.23E-05
CDO1	327.0753894	0.903697577	0.02462553
CEBPA	47.90416912	2.732239345	8.38E-06
CEBPD	140.207221	1.387145748	0.017469492
CERS2	1880.351718	-0.785647963	0.042595534
CETP	5667.418551	-2.892811007	4.13E-14
CFB	507.3876808	-3.068940833	1.71E-07
CFH	3.16602708	0.500686854	0.702611725
CFHR1	1.46344288	-2.053851787	0.246995258
CFHR2	467.0088955	0.354275392	0.17772556
CFI	480.2892712	3.18724462	7.47E-36
CFP	189.1767425	1.495201834	6.90E-06
CIART	118.0695323	-2.31334277	1.07E-05
CIDEC	6793.227152	-2.583274239	9.85E-21
CIRBP	930.6058332	-2.173215533	1.53E-11
CIRBP-B	2.876862788	-3.917831373	0.01258927
CISH	2725.602706	1.862035371	3.33E-12
CLDN15	597.2318422	0.837563118	0.003223532
CLEC4E	5821.150998	-1.385505947	0.000263522
CLEC4M	2247.471691	-1.306013399	3.24E-05
CLPB	6308.336177	2.399006949	1.82E-14
CNDP2	315.1728879	0.869774645	0.001060379
CNN3	309.9517053	1.617415976	1.62E-05
CNPPD1	1767.508551	-1.224967673	0.00213127
COA6	4644.222449	1.430212647	0.000171637
COMTD1	3294.032411	-2.275174765	2.72E-20
COX7A2	25.59634678	-4.352087544	2.76E-06
