Genes	CT	LT20	LT15	LT12	LT12_6	Pathways
ACAA2	39.90333333	123.4366667	272.3533333	359.2833333	464.94	PPAR signaling pathway
ACAN	14.66	142.48	226.0333333	316.4366667	1083.523333	PPAR signaling pathway
ADH1	1.713333333	14.80666667	12.2	17.54333333	9.343333333	PPAR signaling pathway
AHSG	637.33	0	0	0	0	PPAR signaling pathway
ALDH2	2.49	0.603333333	0.27	0.13	0.21	PPAR signaling pathway
AP1S3	10.17	27.34333333	29.16	32.44666667	44.27666667	PPAR signaling pathway
APOA1	49.57333333	105.8	161.76	126.5966667	268.9166667	PPAR signaling pathway
APOB	11.90666667	0	0	0	0	PPAR signaling pathway
APOC2	4.203333333	1809.93	1602.073333	2917.086667	1134.323333	PPAR signaling pathway
APOEB	0.916666667	10.08333333	7.003333333	15.03666667	12.98666667	PPAR signaling pathway
ARHGEF28	26.02333333	12.12666667	5.69	6.18	2.353333333	PPAR signaling pathway
ARRDC2	29.53	6.87	4.266666667	3.913333333	2.893333333	PPAR signaling pathway
BLVRB	14.52666667	5.163333333	4.826666667	4.633333333	2.666666667	PPAR signaling pathway
BTG3	12.2	32.15333333	53.90666667	179.5933333	238.6733333	PPAR signaling pathway
C3	40.51333333	87.74333333	110.6766667	127.06	214.2866667	PPAR signaling pathway
C5	0	85.41666667	107.7166667	74.54333333	52.83	PPAR signaling pathway
C7	2.26	9.043333333	58.35666667	15.50666667	223.0433333	PPAR signaling pathway
C9	3.75	12.13333333	8.996666667	14.58	8.606666667	PPAR signaling pathway
CCNG2	18.67666667	8.766666667	8.136666667	5.973333333	2.926666667	PPAR signaling pathway
CDO1	40.68333333	182.6833333	351.6566667	301.77	754.9033333	PPAR signaling pathway
CERS2	7.543333333	20.14	23.36666667	28.71	37.94666667	PPAR signaling pathway
CFB	0	43.45666667	12.60666667	10.27	9.403333333	PPAR signaling pathway
CFH	0	4.563333333	8.813333333	13.13	17.04333333	PPAR signaling pathway
CISH	19.26666667	5.866666667	6.37	4.403333333	1.556666667	PPAR signaling pathway
CLEC4E	38.30666667	94.10333333	113.1633333	108.0966667	160.1433333	PPAR signaling pathway
CLEC4M	31.64	70.26333333	87.35666667	80.33333333	133.6366667	PPAR signaling pathway
CP	0	22.39	42.12	31.98666667	28.23666667	PPAR signaling pathway
CYC	1.526666667	6.003333333	27.68666667	51.35333333	210.3966667	PPAR signaling pathway
CYP24A1	0.343333333	5.42	120.1133333	308.67	90.70333333	PPAR signaling pathway
CYP2J2	0	41.40333333	119.1633333	62.59333333	30.62666667	PPAR signaling pathway
CYP2K1	3.153333333	0	0	0.003333333	0	PPAR signaling pathway
DECR2	16.27333333	6.67	6.393333333	5.01	4.363333333	PPAR signaling pathway
DHCR24	11.51333333	32.86	33.16666667	34.21333333	29.52333333	PPAR signaling pathway
DHCR7	5.76	16.47333333	18.87666667	13.98	14.39333333	PPAR signaling pathway
DIO3	43.61333333	135.2733333	133.38	241.9333333	328.8433333	PPAR signaling pathway
DLC1	3.236666667	9.253333333	9.953333333	13.65666667	16.80333333	PPAR signaling pathway
EEF2	0.03	353.6233333	35.81333333	245.5266667	208.9833333	PPAR signaling pathway
EIF4E	2.216666667	9.823333333	28.48666667	36.52	161.46	PPAR signaling pathway
ELL	5.623333333	16.11	21.15	27.46666667	23.88666667	PPAR signaling pathway
ERRFI1	5.18	56.12333333	85.24666667	103.07	129.1	PPAR signaling pathway
F2	6.33	33.77333333	85.97333333	76.47666667	96.12	PPAR signaling pathway
FAAH	120.0066667	16.65	5.723333333	7.083333333	3.07	PPAR signaling pathway
FBP1	66.54666667	148.8333333	253.4766667	254.58	475.3266667	PPAR signaling pathway
FBP2	7.393333333	16.44666667	37.89	45.74666667	124.48	PPAR signaling pathway
FDPS	9.096666667	21.55	24.68333333	26.06	18.05333333	PPAR signaling pathway
FETUB	0	8.113333333	4.35	22.65	15.21666667	PPAR signaling pathway
FGA	0.023333333	102.61	68.58333333	29.53333333	33.29333333	PPAR signaling pathway
FGB	0.973333333	12.28333333	18.44333333	43.54666667	49.7	PPAR signaling pathway
FHL1	7.32	3.41	2.446666667	2.856666667	1.953333333	PPAR signaling pathway
FKBP5	0.26	3.873333333	6.743333333	8.78	17.35	PPAR signaling pathway
FN1	7.5	0	0	0	0	AMPK pathway
FOSL2	0.47	2.336666667	6.933333333	53.44	215.0633333	AMPK pathway
GPD1	67.61333333	197.6266667	225.53	239.69	138.3833333	AMPK pathway
GRINA	9.146666667	27.59	34.64	39.69666667	35.18333333	AMPK pathway
HAMP	34.59333333	294.0033333	259.5933333	854.4833333	367.06	AMPK pathway
HEPH	0.046666667	78.16666667	199.2533333	158.7333333	53.14	AMPK pathway
HIGD1A	2.923333333	10.84666667	15.84	38.58	170.8033333	AMPK pathway
HLF	1.54	5.933333333	7.133333333	7.926666667	3.703333333	AMPK pathway
HMGCR	17.21666667	0	0	0	0	AMPK pathway
HMGCS1	3.083333333	16.04	14.35	14.59666667	14.18666667	AMPK pathway
