Time	Status	Group
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
48	0	CT
13	0	LT20
40	0	LT20
42	0	LT20
36	0	LT20
30	0	LT20
20	1	LT20
19	0	LT20
20	1	LT20
16	0	LT20
28	0	LT20
19	1	LT20
44	0	LT20
13	0	LT20
17	1	LT20
32	1	LT20
34	0	LT20
43	1	LT20
26	1	LT20
39	1	LT20
20	0	LT20
38	0	LT20
39	0	LT20
14	0	LT20
30	1	LT20
12	0	LT20
42	1	LT20
14	1	LT20
14	0	LT20
32	1	LT20
19	1	LT20
45	1	LT20
27	1	LT20
15	0	LT20
32	0	LT20
26	1	LT20
39	1	LT20
46	0	LT20
26	1	LT20
24	0	LT20
14	1	LT20
21	0	LT15
20	0	LT15
6	1	LT15
22	0	LT15
20	1	LT15
16	1	LT15
6	0	LT15
21	1	LT15
12	0	LT15
11	1	LT15
17	0	LT15
18	0	LT15
17	1	LT15
11	0	LT15
20	0	LT15
15	1	LT15
6	0	LT15
17	0	LT15
16	1	LT15
24	0	LT15
8	1	LT15
20	1	LT15
12	1	LT15
12	0	LT15
10	0	LT15
18	1	LT15
17	1	LT15
20	1	LT15
12	0	LT15
13	1	LT15
24	0	LT15
24	0	LT15
22	0	LT15
16	1	LT15
20	0	LT15
16	0	LT15
6	1	LT15
24	1	LT15
21	0	LT15
17	0	LT15
6	1	LT12
11	0	LT12
9	1	LT12
7	0	LT12
6	1	LT12
9	0	LT12
7	1	LT12
11	1	LT12
5	1	LT12
8	1	LT12
12	1	LT12
8	0	LT12
10	1	LT12
7	1	LT12
10	1	LT12
12	1	LT12
6	0	LT12
8	0	LT12
12	1	LT12
8	0	LT12
5	0	LT12
10	1	LT12
8	1	LT12
10	0	LT12
3	0	LT12
6	0	LT12
10	0	LT12
6	0	LT12
9	1	LT12
10	1	LT12
11	0	LT12
10	1	LT12
5	0	LT12
10	1	LT12
9	0	LT12
11	1	LT12
4	0	LT12
3	0	LT12
3	0	LT12
9	0	LT12
12	0	LT12_6
4	1	LT12_6
1	1	LT12_6
9	1	LT12_6
6	0	LT12_6
5	0	LT12_6
1	0	LT12_6
3	0	LT12_6
3	0	LT12_6
3	0	LT12_6
6	0	LT12_6
7	0	LT12_6
11	0	LT12_6
8	0	LT12_6
12	1	LT12_6
9	0	LT12_6
9	1	LT12_6
4	1	LT12_6
1	0	LT12_6
2	1	LT12_6
9	1	LT12_6
11	0	LT12_6
8	1	LT12_6
6	1	LT12_6
11	1	LT12_6
3	0	LT12_6
3	0	LT12_6
4	1	LT12_6
3	1	LT12_6
6	1	LT12_6
10	0	LT12_6
2	1	LT12_6
9	1	LT12_6
1	0	LT12_6
10	1	LT12_6
8	1	LT12_6
9	1	LT12_6
8	1	LT12_6
8	1	LT12_6
10	1	LT12_6
