Genes	CT_1	CT_2	CT_3	LT20_1	LT20_2	LT20_3	LT15_1	LT15_2	LT15_3	LT12_1	LT12_2	LT12_3	LT12_6_1	LT12_6_2	LT12_6_3
ACAA2	24.5	39.83	55.38	114.11	159.32	96.88	169.56	464.84	182.66	116.08	497.29	464.48	471.43	693.62	229.77
ACAN	14.97	18.71	10.3	71.23	142.67	213.54	253.15	320.8	104.15	174.02	305.81	469.48	1291.9	991.9	966.77
ADH1	1.54	1.56	2.04	14.95	13.6	15.87	12.8	17.74	6.06	10.97	10.71	30.95	9.84	10.91	7.28
AHSG	0	1911.99	0	0	0	0	0	0	0	0	0	0	0	0	0
ALDH2	2.07	2.86	2.54	0.85	0.49	0.47	0.42	0.13	0.26	0	0.28	0.11	0.37	0.15	0.11
AP1S3	6.62	14.59	9.3	24.9	33.94	23.19	24	36.08	27.4	24.06	38.74	34.54	62.72	41.36	28.75
APOA1	64.5	38.33	45.89	97.49	87.95	131.96	176.52	157.89	150.87	168.06	116.12	95.61	364.08	163.94	278.73
APOB	35.72	0	0	0	0	0	0	0	0	0	0	0	0	0	0
APOC2	2.62	3.95	6.04	1479.08	2025.74	1924.97	2291.3	2505.23	9.69	3265.83	2678.45	2806.98	995.99	3.06	2403.92
APOEB	1.14	0.21	1.4	1.97	14.37	13.91	11.71	4.6	4.7	2.15	37.11	5.85	33.07	3.11	2.78
ARHGEF28	24.16	24.72	29.19	12.38	13.04	10.96	6.42	5.05	5.6	10.73	3.04	4.77	1.52	1.36	4.18
ARRDC2	22.96	26.98	38.65	7.92	9.59	3.1	4.08	3.91	4.81	4.33	3.47	3.94	2.65	3.19	2.84
BLVRB	12.44	16.36	14.78	4.54	5.52	5.43	4.49	2.35	7.64	7.21	3.44	3.25	2.7	2.25	3.05
BTG3	13.07	14.47	9.06	32.95	28.5	35.01	38.48	71.63	51.61	214.3	182.88	141.6	218.96	233.89	263.17
C3	38.14	44.59	38.81	61.57	112.18	89.48	79.86	151.22	100.95	81.91	131.64	167.63	266.65	237.92	138.29
C5	0	0	0	0	129.11	127.14	122.14	90.05	110.96	142.83	80.8	0	0	80.73	77.76
C7	1.36	2.42	3	3.34	5.62	18.17	48.29	30.58	96.2	10.74	14.04	21.74	606.46	32.79	29.88
C9	2.8	2.35	6.1	9.79	17	9.61	9.01	8.44	9.54	15.21	15.03	13.5	6.99	12.21	6.62
CCNG2	10.7	25.13	20.2	7.03	11.31	7.96	6.64	7.39	10.38	6.72	3.86	7.34	3.1	2.7	2.98
CDO1	23.13	62.92	36	133.92	157.69	256.44	429.78	431.33	193.86	182.78	335.23	387.3	998.72	571.06	694.93
CERS2	7.44	7.33	7.86	24.54	15.72	20.16	23.8	26.51	19.79	33.66	24.41	28.06	40.22	32.93	40.69
CFB	0	0	0	52.69	65.14	12.54	22.84	14.98	0	19.19	5.39	6.23	5.69	21.69	0.83
CFH	0	0	0	13.69	0	0	2.03	0	24.41	0.13	13.16	26.1	28.65	16.51	5.97
