CT-vs-LT20	CT-vs-LT15	CT-vs-LT12	CT-vs-LT12_6
transcript_9024	transcript_4738	transcript_9956	transcript_10354
transcript_604	transcript_6050	transcript_7601	transcript_2959
transcript_3912	transcript_1039	transcript_5960	transcript_5919
transcript_8676	transcript_1344	transcript_3240	transcript_2395
transcript_8832	transcript_3069	transcript_10224	transcript_9881
transcript_74	transcript_9809	transcript_3151	transcript_8836
transcript_6152	transcript_6745	transcript_77	transcript_9512
transcript_6258	transcript_5705	transcript_10191	transcript_7448
transcript_2528	transcript_9673	transcript_6873	transcript_1629
transcript_4215	transcript_7367	transcript_7103	transcript_4923
transcript_1860	transcript_4301	transcript_521	transcript_8962
transcript_4671	transcript_1721	transcript_2350	transcript_10268
transcript_1066	transcript_8854	transcript_511	transcript_3698
transcript_3069	transcript_584	transcript_3623	transcript_1559
transcript_2621	transcript_2376	transcript_3180	transcript_293
transcript_1112	transcript_2621	transcript_4825	transcript_6517
transcript_2640	transcript_7184	transcript_9927	transcript_6947
transcript_1138	transcript_139	transcript_9907	transcript_765
transcript_7011	transcript_2483	transcript_3775	transcript_7103
transcript_1304	transcript_4427	transcript_1196	transcript_7078
transcript_2624	transcript_2872	transcript_5432	transcript_11470
transcript_2637	transcript_2669	transcript_400	transcript_4935
transcript_7420	transcript_6056	transcript_4189	transcript_7456
transcript_7129	transcript_4189	transcript_6498	transcript_5614
transcript_652	transcript_3833	transcript_4616	transcript_1319
transcript_8202	transcript_8673	transcript_4845	transcript_11331
transcript_3616	transcript_9597	transcript_6745	transcript_6551
transcript_8283	transcript_6355	transcript_5600	transcript_2326
transcript_3876	transcript_4623	transcript_10418	transcript_272
transcript_7337	transcript_6278	transcript_1983	transcript_3232
transcript_9571	transcript_1565	transcript_4355	transcript_475
transcript_811	transcript_6502	transcript_1944	transcript_1433
transcript_2424	transcript_4069	transcript_4594	transcript_8972
transcript_5602	transcript_7964	transcript_3611	transcript_2990
transcript_5060	transcript_9263	transcript_4991	transcript_10100
transcript_7299	transcript_3611	transcript_26	transcript_7736
transcript_10017	transcript_3791	transcript_3242	transcript_9316
transcript_3931	transcript_8860	transcript_3239	transcript_5665
transcript_2934	transcript_4651	transcript_9974	transcript_2872
transcript_9294	transcript_2978	transcript_2952	transcript_6303
transcript_1878	transcript_2644	transcript_8752	transcript_9551
transcript_7870	transcript_1444	transcript_475	transcript_1961
transcript_10468	transcript_86	transcript_4918	transcript_11260
transcript_9355	transcript_9281	transcript_1822	transcript_10181
transcript_6880	transcript_1254	transcript_1013	transcript_6774
transcript_7800	transcript_670	transcript_6320	transcript_7740
transcript_330	transcript_5442	transcript_8109	transcript_4477
transcript_5268	transcript_3757	transcript_8319	transcript_2560
transcript_426	transcript_3264	transcript_6646	transcript_7995
transcript_5509	transcript_1329	transcript_1860	transcript_959
transcript_11100	transcript_2295	transcript_1878	transcript_4303
transcript_9538	transcript_6913	transcript_1407	transcript_1112
transcript_8305	transcript_3240	transcript_7760	transcript_3754
transcript_8061	transcript_9045	transcript_9307	transcript_5544
transcript_906	transcript_5632	transcript_649	transcript_5978
transcript_1464	transcript_538	transcript_4854	transcript_5274
transcript_8321	transcript_7466	transcript_4940	transcript_2668
