Genes	biological_process	cellular_component	molecular_function	kegg_pathway
FN1	GO:0003181(atrioventricular valve morphogenesis);GO:0003128(heart field specification);GO:0001756(somitogenesis)	GO:0005576(extracellular region)	NA	ko04810(Regulation of actin cytoskeleton);ko04510(Focal adhesion);ko04151(PI3K-Akt signaling pathway);ko04512(ECM-receptor interaction)
14-3-3ZETA	NA	NA	GO:0019904(protein domain specific binding)	ko04110(Cell cycle);ko04114(Oocyte meiosis);ko04390(Hippo signaling pathway);ko04391(Hippo signaling pathway -fly);ko04013(MAPK signaling pathway - fly);ko04151(PI3K-Akt signaling pathway);ko04212(Longevity regulating pathway - worm)
A1I3	NA	GO:0005615(extracellular space)	GO:0004866(endopeptidase inhibitor activity)	ko04610(Complement and coagulation cascades)
A2M	NA	GO:0005615(extracellular space)	GO:0004866(endopeptidase inhibitor activity)	ko04610(Complement and coagulation cascades)
AARS	GO:0006419(alanyl-tRNA aminoacylation)	GO:0005737(cytoplasm)	GO:0004813(alanine-tRNA ligase activity);GO:0005524(ATP binding);GO:0000049(tRNA binding);GO:0008270(zinc ion binding)	ko00970(Aminoacyl-tRNA biosynthesis)
ABAT	GO:0009448(gamma-aminobutyric acid metabolic process)	NA	GO:0003867(4-aminobutyrate transaminase activity);GO:0030170(pyridoxal phosphate binding)	ko00250(Alanine, aspartate and glutamate metabolism);ko00280(Valine, leucine and isoleucine degradation);ko00650(Butanoate metabolism);ko00640(Propanoate metabolism);ko00410(beta-Alanine metabolism);ko04727(GABAergic synapse)
ABCB7	NA	GO:0016021(integral component of membrane)	GO:0005524(ATP binding);GO:0016887(ATPase activity);GO:0042626(ATPase-coupled transmembrane transporter activity)	ko02010(ABC transporters)
ABCG2	NA	GO:0043190(ATP-binding cassette (ABC) transporter complex)	GO:0005524(ATP binding);GO:0016887(ATPase activity);GO:0042626(ATPase-coupled transmembrane transporter activity)	ko02010(ABC transporters);ko04976(Bile secretion)
ABCG5	NA	GO:0016021(integral component of membrane)	GO:0005524(ATP binding);GO:0016887(ATPase activity)	ko02010(ABC transporters);ko04976(Bile secretion);ko04975(Fat digestion and absorption)
ABHD6-A	NA	GO:0016021(integral component of membrane)	NA	ko04723(Retrograde endocannabinoid signaling)
